locality_name_en,locality_name_ar,locality_code,state_name_en,state_name_ar,state_code,country_name_en,country_name_ar,country_code,data_date,valid_from,area_sqkm,size_category,state_name_standardized,is_special_admin
Abassiya,العباسية,SD07090,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4231.34668,Medium,South Kordofan,FALSE
Abu Hamad,أبو حمد,SD16008,River Nile,نهر النيل,SD16,Sudan,السودان‎,SD,3/11/2020,8/31/2020,31673.44727,Very Large,River Nile,FALSE
Abu Hujar,أبو حجار,SD14037,Sennar,سنار,SD14,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3829.288818,Medium,Sennar,FALSE
Abu Jabrah,أبو جابرة,SD05140,East Darfur,شرق دارفور,SD05,Sudan,السودان‎,SD,3/11/2020,8/31/2020,6060.472168,Large,East Darfur,FALSE
Abu Jubayhah,أبو جبيهة,SD07088,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,20973.48438,Very Large,South Kordofan,FALSE
Abu Karinka,أبو كارنكا,SD05155,East Darfur,شرق دارفور,SD05,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2452.526367,Medium,East Darfur,FALSE
Abu Kershola,أبو كرشولا,SD07104,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3090.163818,Medium,South Kordofan,FALSE
Abu Zabad,أبو زبد,SD18028,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5211.595215,Large,West Kordofan,FALSE
Abyei,أبيي,SD18087,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4434.88916,Medium,West Kordofan,FALSE
Abyei PCA area,إدارية أبيي,SD19001,Abyei PCA,إدارية أبيي,SD19,Sudan,السودان‎,SD,3/11/2020,8/31/2020,10536.82324,Large,Abyei PCA,TRUE
Ad Dabbah,الدبة,SD17019,Northern,الشمالية,SD17,Sudan,السودان‎,SD,3/11/2020,8/31/2020,45194.22266,Very Large,Northern,FALSE
Ad Dali,الدالي,SD14039,Sennar,سنار,SD14,Sudan,السودان‎,SD,3/11/2020,8/31/2020,8096.038086,Large,Sennar,FALSE
Ad Damar,الدامر,SD16011,River Nile,نهر النيل,SD16,Sudan,السودان‎,SD,3/11/2020,8/31/2020,37020.45313,Very Large,River Nile,FALSE
Ad Dinder,الدندر,SD14040,Sennar,سنار,SD14,Sudan,السودان‎,SD,3/11/2020,8/31/2020,14138.32422,Large,Sennar,FALSE
Ad Diwaim,الدويم,SD09044,White Nile,النيل الأبيض,SD09,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5871.230957,Large,White Nile,FALSE
Ad Du'ayn,الضعين,SD05142,East Darfur,شرق دارفور,SD05,Sudan,السودان‎,SD,3/11/2020,8/31/2020,857.5574951,Small,East Darfur,FALSE
Adila,عديلة,SD05139,East Darfur,شرق دارفور,SD05,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3855.87207,Medium,East Darfur,FALSE
Ag Geneina,الجنينة,SD04115,West Darfur,غرب دارفور,SD04,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2743.902588,Medium,West Darfur,FALSE
Agig,عقيق,SD10072,Red Sea,البحر الأحمر,SD10,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7554.039063,Large,Red Sea,FALSE
Aj Jabalain,الجبلين,SD09051,White Nile,النيل الأبيض,SD09,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3973.674805,Medium,White Nile,FALSE
Al Buhaira,البحيرة,SD16014,River Nile,نهر النيل,SD16,Sudan,السودان‎,SD,3/11/2020,8/31/2020,18537.3125,Large,River Nile,FALSE
Al Buram,البرام,SD07099,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1754.141724,Medium,South Kordofan,FALSE
Al Burgaig,البرقيق,SD17016,Northern,الشمالية,SD17,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1422.04248,Medium,Northern,FALSE
Al Butanah,البطانة,SD12073,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,19610.01172,Large,Gedaref,FALSE
Al Dibab,الدبب,SD18103,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,9072.358398,Large,West Kordofan,FALSE
Al Fao,الفاو,SD12074,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2146.317139,Medium,Gedaref,FALSE
Al Fashaga,الفشقة,SD12075,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5193.689453,Large,Gedaref,FALSE
Al Fasher,الفاشر,SD02114,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,8502.279297,Large,North Darfur,FALSE
Al Firdous,الفردوس,SD05152,East Darfur,شرق دارفور,SD05,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3028.91626,Medium,East Darfur,FALSE
Al Galabat Al Gharbyah - Kassab,القلابات الغربية - كساب,SD12078,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4138.532715,Medium,Gedaref,FALSE
Al Ganab,القنب,SD10069,Red Sea,البحر الأحمر,SD10,Sudan,السودان‎,SD,3/11/2020,8/31/2020,70407.625,Very Large,Red Sea,FALSE
Al Gitaina,القطينة,SD09050,White Nile,النيل الأبيض,SD09,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5592.410645,Large,White Nile,FALSE
Al Golid,القولد,SD17018,Northern,الشمالية,SD17,Sudan,السودان‎,SD,3/11/2020,8/31/2020,65658.48438,Very Large,Northern,FALSE
Al Hasahisa,الحصاحيصا,SD15034,Aj Jazirah,الجزيرة,SD15,Sudan,السودان‎,SD,3/11/2020,8/31/2020,4163.036621,Medium,Aj Jazirah,FALSE
Al Idia,الأضية,SD18104,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7328.054199,Large,West Kordofan,FALSE
Al Kamlin,الكاملين,SD15035,Aj Jazirah,الجزيرة,SD15,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1825.960815,Medium,Aj Jazirah,FALSE
Al Khiwai,الخوي,SD18105,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,9173.193359,Large,West Kordofan,FALSE
Al Koma,الكومة,SD02116,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,776.2297363,Small,North Darfur,FALSE
Al Kurmuk,الكرمك,SD08106,Blue Nile,النيل الأزرق,SD08,Sudan,السودان‎,SD,3/11/2020,8/31/2020,9727.5625,Large,Blue Nile,FALSE
Al Lagowa,لقاوة,SD18102,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7388.193848,Large,West Kordofan,FALSE
Al Lait,اللعيت,SD02169,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2796.141113,Medium,North Darfur,FALSE
Al Leri,الليري,SD07105,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,7420.941895,Large,South Kordofan,FALSE
Al Mafaza,المفازة,SD12082,Gedaref,القضارف,SD12,Sudan,السودان‎,SD,3/11/2020,8/31/2020,1380.979614,Medium,Gedaref,FALSE
Al Malha,المالحة,SD02117,North Darfur,شمال دارفور,SD02,Sudan,السودان‎,SD,3/11/2020,8/31/2020,194627.9219,Very Large,North Darfur,FALSE
Al Manaqil,المناقل,SD15036,Aj Jazirah,الجزيرة,SD15,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3740.301758,Medium,Aj Jazirah,FALSE
Al Matama,المتمة,SD16009,River Nile,نهر النيل,SD16,Sudan,السودان‎,SD,3/11/2020,8/31/2020,9272.297852,Large,River Nile,FALSE
Al Meiram,الميرم,SD18106,West Kordofan,غرب كردفان,SD18,Sudan,السودان‎,SD,3/11/2020,8/31/2020,5553.874512,Large,West Kordofan,FALSE
Al Quoz,القوز,SD07094,South Kordofan,جنوب كردفان,SD07,Sudan,السودان‎,SD,3/11/2020,8/31/2020,2617.922119,Medium,South Kordofan,FALSE
Al Qurashi,القرشي,SD15037,Aj Jazirah,الجزيرة,SD15,Sudan,السودان‎,SD,3/11/2020,8/31/2020,3136.283203,Medium,Aj Jazirah,FALSE
