facility_name,facility_name_english,facility_name_display,facility_type_standard,longitude,latitude,has_original_name,coordinates_valid,location_precision
صيدلية التفاح الاخضر,Green Apple Pharmacy,Green Apple Pharmacy,pharmacy,32.6189537,15.5984329,TRUE,TRUE,high
Africa pharmcy,Africa pharmcy,Africa pharmcy,pharmacy,32.5694639,15.5330492,TRUE,TRUE,high
أم حريزات,Umm Harizat,Umm Harizat,clinic,33.4733517,14.8036371,TRUE,TRUE,high
مستشفي اربجي الريفي,Arbaji Rural Hospital,Arbaji Rural Hospital,hospital,33.3525065,14.7264294,TRUE,TRUE,high
صيدلية ام القري,Umm Al-Qura Pharmacy,Umm Al-Qura Pharmacy,pharmacy,33.2999175,14.7387066,TRUE,TRUE,high
صيدلية الدكاترة,Doctors Pharmacy,Doctors Pharmacy,pharmacy,33.3004108,14.7387891,TRUE,TRUE,high
,,Unnamed Pharmacy,pharmacy,36.3955747,15.4557589,FALSE,TRUE,medium
عمر بن الخطاب - عيادة محولة,Omar bin Al-Khattab - referral clinic,Omar bin Al-Khattab - referral clinic,clinic,32.563093,15.539468,TRUE,TRUE,high
صيدلية الرشيد الحديثة,Al-Rasheed Modern Pharmacy,Al-Rasheed Modern Pharmacy,pharmacy,32.5356865,15.5275621,TRUE,TRUE,high
صيدلية المتخصصة,Specialized pharmacy,Specialized pharmacy,pharmacy,32.5476554,15.5308806,TRUE,TRUE,high
صيدلية المطار الحديثة,Modern Airport Pharmacy,Modern Airport Pharmacy,pharmacy,33.5395935,14.3928487,TRUE,TRUE,high
مستشفي ود مدني,Wad Madani Hospital,Wad Madani Hospital,hospital,33.5265425,14.3965021,TRUE,TRUE,high
صيدلية ياسين,Yassin Pharmacy,Yassin Pharmacy,pharmacy,32.6238649,15.6332069,TRUE,TRUE,high
صيدلية ايفان,Evan Pharmacy,Evan Pharmacy,pharmacy,32.6244305,15.6344297,TRUE,TRUE,high
صيدلية لايف كير,Life Care Pharmacy,Life Care Pharmacy,pharmacy,32.6305632,15.6297188,TRUE,TRUE,high
صيدلية سعاد 7,Souad Pharmacy 7,Souad Pharmacy 7,pharmacy,32.6329146,15.6406018,TRUE,TRUE,high
صيدليه ماما فهيمه,Mama Fahima Pharmacy,Mama Fahima Pharmacy,pharmacy,32.6356431,15.7013502,TRUE,TRUE,high
عيادة العبور لطب و جراحة الاسنان,Obour Dental Surgery Clinic,Obour Dental Surgery Clinic,clinic,32.4899857,15.6924137,TRUE,TRUE,high
صيدلية شوامخ الشهداء,Shawamikh Al-Shuhadaa Pharmacy,Shawamikh Al-Shuhadaa Pharmacy,pharmacy,32.4860052,15.6447007,TRUE,TRUE,high
صيدلية النخيل,Al Nakheel Pharmacy,Al Nakheel Pharmacy,pharmacy,32.5790634,15.7203121,TRUE,TRUE,high
مركز الدكتور جلال البيطري,Dr. Jalal Veterinary Center,Dr. Jalal Veterinary Center,clinic,32.5481873,15.6896877,TRUE,TRUE,high
Reval Pharmacy,Reval Pharmacy,Reval Pharmacy,pharmacy,32.5797256,15.55909,TRUE,TRUE,high
صيدلية سمر بلس,Summer Plus Pharmacy,Summer Plus Pharmacy,pharmacy,32.5785809,15.5624431,TRUE,TRUE,high
صيدلية الهرم,Al Haram Pharmacy,Al Haram Pharmacy,pharmacy,32.577831,15.5636307,TRUE,TRUE,high
صيدلية السواحلي,Al Swahili Pharmacy,Al Swahili Pharmacy,pharmacy,32.578515,15.565561,TRUE,TRUE,high
صيدلية مكة 7,Mecca Pharmacy 7,Mecca Pharmacy 7,pharmacy,32.5783619,15.5635911,TRUE,TRUE,high
صيدلية بله الفكي,Balla El Faki Pharmacy,Balla El Faki Pharmacy,pharmacy,32.582725,15.5384998,TRUE,TRUE,high
عيادة سعودي لطب الأسنان,Saudi dental clinic,Saudi dental clinic,dental_clinic,32.5356057,15.5696033,TRUE,TRUE,high
صيدلية رودينا,Rodina Pharmacy,Rodina Pharmacy,pharmacy,32.560688,15.5878124,TRUE,TRUE,high
صيدلية الهجان,Al-Hagan Pharmacy,Al-Hagan Pharmacy,pharmacy,32.444561,15.6126871,TRUE,TRUE,high
صيدلية محمد سعيد - شارع ليبيا,Mohamed Saeed Pharmacy - Libya Street,Mohamed Saeed Pharmacy - Libya Street,pharmacy,32.4411888,15.6138124,TRUE,TRUE,high
صيدلية محمد يس,Muhammad Yassin Pharmacy,Muhammad Yassin Pharmacy,pharmacy,32.4581871,15.6134377,TRUE,TRUE,high
صيدلية التهامي,El Tohamy Pharmacy,El Tohamy Pharmacy,pharmacy,32.4595642,15.6086874,TRUE,TRUE,high
صيدلية مريم إسحق,Maryam Ishaq Pharmacy,Maryam Ishaq Pharmacy,pharmacy,32.456562,15.5870628,TRUE,TRUE,high
صيدلية هرفة,Harfa Pharmacy,Harfa Pharmacy,pharmacy,32.4523125,15.5826874,TRUE,TRUE,high
صيدلية جبرة شمال,Jabra North Pharmacy,Jabra North Pharmacy,pharmacy,32.5256882,15.5365629,TRUE,TRUE,high
مركز ام القري جنوب الصحي,Umm Al-Qura South Health Center,Umm Al-Qura South Health Center,clinic,32.5747989,15.7515477,TRUE,TRUE,high
صيدلية سيف الله,Seif Allah Pharmacy,Seif Allah Pharmacy,pharmacy,32.586937,15.7764378,TRUE,TRUE,high
صيدلية المحمدة,Al-Mohammeda Pharmacy,Al-Mohammeda Pharmacy,pharmacy,32.6928139,15.5141878,TRUE,TRUE,high
صيدلية تساهيل,Tsahil Pharmacy,Tsahil Pharmacy,pharmacy,32.6895638,15.5171871,TRUE,TRUE,high
صيدلية بسام محمد صلاح,Bassam Mohamed Salah Pharmacy,Bassam Mohamed Salah Pharmacy,pharmacy,32.5245628,15.5273123,TRUE,TRUE,high
صيدلية المشرق,Al-Mashreq Pharmacy,Al-Mashreq Pharmacy,pharmacy,32.5793999,15.5074053,TRUE,TRUE,high
,,Unnamed Pharmacy,pharmacy,33.0925522,15.0140674,FALSE,TRUE,medium
صيدلية ود موسي,Wad Moussa Pharmacy,Wad Moussa Pharmacy,pharmacy,32.4411412,15.6834392,TRUE,TRUE,high
صيدلية د مايكل,Dr Michael Pharmacy,Dr Michael Pharmacy,pharmacy,32.4863129,15.6591873,TRUE,TRUE,high
صيدلية محمد سعيد - ش ود البشير,Mohamed Saeed Pharmacy - Wad Al Bashir Street,Mohamed Saeed Pharmacy - Wad Al Bashir Street,pharmacy,32.4465637,15.6478128,TRUE,TRUE,high
مركز بريفينسيا للبصريات,Previncia Optical Center,Previncia Optical Center,clinic,32.5069676,15.7003437,TRUE,TRUE,high
صيدلية آمن,Aamen Pharmacy,Safe Pharmacy,pharmacy,32.5489388,15.6913128,TRUE,TRUE,high
صيدلية اربيل,Erbil Pharmacy,Erbil Pharmacy,pharmacy,32.5086777,15.7059596,TRUE,TRUE,high
صيدلية سديم,Sadeem Pharmacy,Sadeem Pharmacy,pharmacy,32.4596196,15.7349285,TRUE,TRUE,high
صيدلية الموردة,Supplied Pharmacy,Supplied Pharmacy,pharmacy,32.4884043,15.6301165,TRUE,TRUE,high
Medani Health Centre,Medani Health Centre,Medani Health Centre,other,33.5000462,14.4275804,TRUE,TRUE,high
المركز السوداني للسمع,Sudanese Hearing Centre,Sudanese Hearing Centre,other,32.4844281,15.6431792,TRUE,TRUE,high
,,Unnamed Clinic,clinic,33.0974814,15.0135224,FALSE,TRUE,medium
,,Unnamed Pharmacy,pharmacy,33.0974817,15.0136824,FALSE,TRUE,medium
صيدلية المقدام,Al-Maqdam Pharmacy,Al-Maqdam Pharmacy,pharmacy,32.634124,15.608869,TRUE,TRUE,high
صيدلية امباقو 3,Ambago Pharmacy 3,Ambago Pharmacy 3,pharmacy,32.6338509,15.6019011,TRUE,TRUE,high
مجمع عيادات كحيل الطبي,Kahil Medical Complex,Kahil Medical Complex,clinic,32.6279088,15.5976743,TRUE,TRUE,high
صيدلة اوسارا,Osara Pharmacy,Osara Pharmacy,pharmacy,32.6364483,15.592603,TRUE,TRUE,high
صيدلية يسر,Yusr Pharmacy,Yusr Pharmacy,pharmacy,32.5622076,15.4923143,TRUE,TRUE,high
صيدلية اواصر,Awasr Pharmacy,Awasr Pharmacy,pharmacy,32.4993995,15.4881355,TRUE,TRUE,high
صيدلية الوسيلة - الوحدة,Al Wasila Pharmacy - Al Wahda,Al Wasila Pharmacy - Al Wahda,pharmacy,32.4884377,15.449688,TRUE,TRUE,high
صيدلية الشهيد ناجي,Martyr Naji Pharmacy,Martyr Naji Pharmacy,pharmacy,32.4916878,15.4934378,TRUE,TRUE,high
,,Unnamed Clinic,clinic,30.419702,20.7487161,FALSE,TRUE,medium
عياده الاستاذ,Professor's clinic,Professor's clinic,clinic,30.2657032,20.0447326,TRUE,TRUE,high
,,Unnamed Other,other,33.0973942,15.013706,FALSE,TRUE,medium
صيدلية د.خالد,Dr. Khaled Pharmacy,Dr. Khaled Pharmacy,pharmacy,32.45893,15.6465973,TRUE,TRUE,high
صيدلية الهاشماب,Al-Hashmap Pharmacy,Al-Hashmap Pharmacy,pharmacy,32.4876763,15.6365153,TRUE,TRUE,high
صيدلية شموخ,Shumukh Pharmacy,Shumukh Pharmacy,pharmacy,32.5608221,15.518825,TRUE,TRUE,high
صيدليه بكار,Bakkar Pharmacy,Bakkar Pharmacy,pharmacy,32.4838107,15.5053962,TRUE,TRUE,high
صيدلية بت البلد,Bit El Balad Pharmacy,Bit El Balad Pharmacy,pharmacy,32.4950322,15.532763,TRUE,TRUE,high
صيدلية البدرين,Al Badrin Pharmacy,Al Badrin Pharmacy,pharmacy,32.4985384,15.5231374,TRUE,TRUE,high
صيدلية العدناني,Al Adnani Pharmacy,Al Adnani Pharmacy,pharmacy,32.4979942,15.5190986,TRUE,TRUE,high
صيدلية طابت عبدالمحمود,Tabet Abdel Mahmoud Pharmacy,Tabet Abdel Mahmoud Pharmacy,pharmacy,32.4939353,15.5265158,TRUE,TRUE,high
