state_displacement,state_code,total_idps,total_households,origin_aj_jazirah,origin_central_darfur,origin_east_darfur,origin_khartoum,origin_north_darfur,origin_north_kordofan,origin_sennar,origin_south_darfur,origin_south_kordofan,origin_west_darfur,origin_west_kordofan,origin_white_nile,sudanese_nationals,non_sudanese_nationals,avg_household_size,non_sudanese_percentage,displacement_concentration_pct
Aj Jazirah,SD15,355356,70184,157346,0,0,196778,0,0,0,0,0,0,0,1232,355356,0,5.063205288954747,0.0,5.4235286971327445
Blue Nile,SD08,134301,26856,11476,0,0,121375,5,35,595,135,645,0,0,35,133806,495,5.000781948168007,0.3685750664552014,2.0497341470345924
Central Darfur,SD06,428180,85636,0,271285,0,2755,73135,0,0,19355,0,61650,0,0,428180,0,5.0,0.0,6.53498609152033
East Darfur,SD05,664265,132833,0,0,75335,358630,14600,3910,0,210105,0,0,1685,0,664265,0,5.000752824975722,0.0,10.138172114726872
Gedaref,SD12,429171,85207,88699,0,0,338270,1557,350,0,295,0,0,0,0,421636,7535,5.036804487894187,1.7557104277782052,6.5501109717498975
Kassala,SD11,193709,39011,47276,0,0,146433,0,0,0,0,0,0,0,0,189839,3870,4.965496911127631,1.9978421240107582,2.9564333243082617
Khartoum,SD01,54355,10805,1425,0,0,52930,0,0,0,0,0,0,0,0,54120,235,5.030541416011106,0.4323429307331432,0.8295790765673025
North Darfur,SD02,531892,106317,65,7940,208,8901,466040,425,0,35223,0,12945,145,0,531774,118,5.002887590883867,0.022184954840456333,8.117863567170188
North Kordofan,SD13,151292,29723,1673,0,0,122675,0,22559,235,0,3660,0,365,125,150964,328,5.090064932880261,0.2167993020120033,2.3090548735538645
Northern,SD17,404660,80610,9370,0,0,394987,0,0,303,0,0,0,0,0,403929,731,5.019972708100732,0.18064548015618048,6.176018197474466
Red Sea,SD10,247012,49501,63631,146,0,162661,5091,5393,2256,3320,3258,381,0,875,231713,15299,4.990040605240298,6.193626220588473,3.769956523982016
River Nile,SD16,706906,143509,17114,65,0,689530,157,25,15,0,0,0,0,0,706906,0,4.9258652767422255,0.0,10.788969307329324
Sennar,SD14,496087,98539,103767,0,0,353462,0,0,38858,0,0,0,0,0,496087,0,5.0344229188443155,0.0,7.571399049895011
South Darfur,SD03,744823,148964,0,9365,0,16650,12350,0,0,701858,0,4600,0,0,744823,0,5.000020139094009,0.0,11.367667676314742
South Kordofan,SD07,174483,34510,2875,0,0,65246,0,5125,105,0,100958,0,30,144,173741,742,5.056012749927557,0.4252563286967785,2.6630014905103967
West Darfur,SD04,171795,34359,0,3520,1685,2614,311,0,0,8425,0,155240,0,0,171795,0,5.0,0.0,2.6219765883337267
West Kordofan,SD18,138096,27170,0,0,5,61370,845,10599,0,250,5523,0,59504,0,138096,0,5.082664703717335,0.0,2.1076543493264315
White Nile,SD09,525735,104883,50865,0,0,467802,0,269,55,0,0,0,0,6744,435897,89838,5.012585452361202,17.088076692630317,8.023893953069832
