state_code,state_name_en,state_name_ar,state_name_standardized
SD01,Khartoum,الخرطوم,Khartoum
SD02,North Darfur,شمال دارفور,North Darfur
SD03,South Darfur,جنوب دارفور,South Darfur
SD04,West Darfur,غرب دارفور,West Darfur
SD05,East Darfur,شرق دارفور,East Darfur
SD06,Central Darfur,وسط دارفور,Central Darfur
SD07,South Kordofan,جنوب كردفان,South Kordofan
SD08,Blue Nile,النيل الأزرق,Blue Nile
SD09,White Nile,النيل الأبيض,White Nile
SD10,Red Sea,البحر الأحمر,Red Sea
SD11,Kassala,كسلا,Kassala
SD12,Gedaref,القضارف,Gedaref
SD13,North Kordofan,شمال كردفان,North Kordofan
SD14,Sennar,سنار,Sennar
SD15,Aj Jazirah,الجزيرة,Aj Jazirah
SD16,River Nile,نهر النيل,River Nile
SD17,Northern,الشمالية,Northern
SD18,West Kordofan,غرب كردفان,West Kordofan
SD19,Abyei PCA,إدارية أبيي,Abyei PCA
