ADM2_EN,ADM2_AR,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM2ALT1_AR,ADM2ALT2_AR,ADM1_EN,ADM1_AR,ADM1_PCODE,ADM0_EN,ADM0_AR,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Abassiya,العباسية,SD07090,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4231.34668
Abu Hamad,أبو حمد,SD16008,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,31673.44727
Abu Hujar,أبو حجار,SD14037,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3829.288818
Abu Jabrah,أبو جابرة,SD05140,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,6060.472168
Abu Jubayhah,أبو جبيهة,SD07088,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,20973.48438
Abu Karinka,أبو كارنكا,SD05155,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2452.526367
Abu Kershola,أبو كرشولا,SD07104,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3090.163818
Abu Zabad,أبو زبد,SD18028,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5211.595215
Abyei,أبيي,SD18087,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4434.88916
Abyei PCA area,إدارية أبيي,SD19001,,,,,,Abyei PCA,إدارية أبيي,SD19,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,10536.82324
Ad Dabbah,الدبة,SD17019,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,45194.22266
Ad Dali,الدالي,SD14039,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,8096.038086
Ad Damar,الدامر,SD16011,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,37020.45313
Ad Dinder,الدندر,SD14040,,,,,,Sennar,سنار,SD14,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,14138.32422
Ad Diwaim,الدويم,SD09044,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5871.230957
Ad Du'ayn,الضعين,SD05142,Ad Duayn,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,857.5574951
Adila,عديلة,SD05139,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3855.87207
Ag Geneina,الجنينة,SD04115,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2743.902588
Agig,عقيق,SD10072,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,7554.039063
Aj Jabalain,الجبلين,SD09051,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3973.674805
Al Buhaira,البحيرة,SD16014,,,,,,River Nile,نهر النيل,SD16,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,18537.3125
Al Buram,البرام,SD07099,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1754.141724
Al Burgaig,البرقيق,SD17016,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1422.04248
Al Butanah,البطانة,SD12073,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,19610.01172
Al Dibab,الدبب,SD18103,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,9072.358398
Al Fao,الفاو,SD12074,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2146.317139
Al Fashaga,الفشقة,SD12075,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5193.689453
Al Fasher,الفاشر,SD02114,,,,,,North Darfur,شمال دارفور,SD02,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,8502.279297
Al Firdous,الفردوس,SD05152,,,,,,East Darfur,شرق دارفور,SD05,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3028.91626
Al Galabat Al Gharbyah - Kassab,القلابات الغربية - كساب,SD12078,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4138.532715
Al Ganab,القنب,SD10069,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,70407.625
Al Gitaina,القطينة,SD09050,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,5592.410645
Al Golid,القولد,SD17018,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,65658.48438
Al Hasahisa,الحصاحيصا,SD15034,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4163.036621
Al Idia,الأضية,SD18104,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,7328.054199
Al Kamlin,الكاملين,SD15035,,,,,,Aj Jazirah,الجزيرة,SD15,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1825.960815
Al Khiwai,الخوي,SD18105,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,9173.193359
